Model,MDO3052
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,0.03
Sample Interval,1e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,-2.7
,
,
,
Label,
TIME,CH1
-1.569000e-02,-0.00467188
-1.568000e-02,-0.00459844
-1.567000e-02,-0.00454375
-1.566000e-02,-0.00472188
-1.565000e-02,-0.00452656
-1.564000e-02,-0.00471719
-1.563000e-02,-0.00461875
-1.562000e-02,-0.0047125
-1.561000e-02,-0.00470938
-1.560000e-02,-0.00478281
-1.559000e-02,-0.00465156
-1.558000e-02,-0.004625
-1.557000e-02,-0.00452656
-1.556000e-02,-0.0047
-1.555000e-02,-0.00475469
-1.554000e-02,-0.00472813
-1.553000e-02,-0.00485781
-1.552000e-02,-0.00490156
-1.551000e-02,-0.00463594
-1.550000e-02,-0.00457187
-1.549000e-02,-0.00453281
-1.548000e-02,-0.00465938
-1.547000e-02,-0.00468438
-1.546000e-02,-0.00470312
-1.545000e-02,-0.00489062
-1.544000e-02,-0.00473594
-1.543000e-02,-0.00469375
-1.542000e-02,-0.00476719
-1.541000e-02,-0.00467031
-1.540000e-02,-0.004725
-1.539000e-02,-0.00470312
-1.538000e-02,-0.00476875
-1.537000e-02,-0.00481875
-1.536000e-02,-0.00467031
-1.535000e-02,-0.00469687
-1.534000e-02,-0.0044875
-1.533000e-02,-0.00465313
-1.532000e-02,-0.00471563
-1.531000e-02,-0.00467656
-1.530000e-02,-0.00448281
-1.529000e-02,-0.00470625
-1.528000e-02,-0.00457969
-1.527000e-02,-0.0049375
-1.526000e-02,-0.00465938
-1.525000e-02,-0.00475781
-1.524000e-02,-0.00473594
-1.523000e-02,-0.00470469
-1.522000e-02,-0.00475937
-1.521000e-02,-0.00465313
-1.520000e-02,-0.00468906
-1.519000e-02,-0.00460781
-1.518000e-02,-0.004725
-1.517000e-02,-0.00443594
-1.516000e-02,-0.00467656
-1.515000e-02,-0.00472813
-1.514000e-02,-0.00472656
-1.513000e-02,-0.00471094
-1.512000e-02,-0.00459063
-1.511000e-02,-0.00471719
-1.510000e-02,-0.00470938
-1.509000e-02,-0.00470781
-1.508000e-02,-0.00459375
-1.507000e-02,-0.00465781
-1.506000e-02,-0.00471875
-1.505000e-02,-0.00458906
-1.504000e-02,-0.00478906
-1.503000e-02,-0.00460938
-1.502000e-02,-0.00468125
-1.501000e-02,-0.00465156
-1.500000e-02,-0.00465156
-1.499000e-02,-0.00458125
-1.498000e-02,-0.0046125
-1.497000e-02,-0.00462969
-1.496000e-02,-0.00477344
-1.495000e-02,-0.00467188
-1.494000e-02,-0.00472969
-1.493000e-02,-0.00466563
-1.492000e-02,-0.00459219
-1.491000e-02,-0.00472813
-1.490000e-02,-0.00461094
-1.489000e-02,-0.0046375
-1.488000e-02,-0.00478438
-1.487000e-02,-0.00447969
-1.486000e-02,-0.00476562
-1.485000e-02,-0.00466406
-1.484000e-02,-0.00455313
-1.483000e-02,-0.00469844
-1.482000e-02,-0.00466719
-1.481000e-02,-0.00482969
-1.480000e-02,-0.00458594
-1.479000e-02,-0.0047125
-1.478000e-02,-0.0047
-1.477000e-02,-0.00457344
-1.476000e-02,-0.00489687
-1.475000e-02,-0.00478906
