NaCl,,Be Pd,,,Cd Ga2 Se4,,
2θ - °,Intensity - cps,2θ - °,Y,Intensity - cps,2θ - °,Y,Intensity - cps
14.09,6706.7,,,,,,
14.1,6960,,,,,,
14.11,6946.7,,,,,,
14.12,7053.3,,,,,,
14.13,6773.3,,,,,,
14.14,6706.7,,,,,,
14.15,7040,,,,,,
14.16,7613.3,,,,,,
14.17,7640,,,,,,
14.18,7360,,,,,,
14.19,7146.7,,,,,,
14.2,7080,,,,,,
14.21,6813.3,,,,,,
14.22,6906.7,,,,,,
14.23,7400,,,,,,
14.24,7346.7,,,,,,
14.25,6946.7,,,,,,
14.26,7053.3,,,,,,
14.27,6746.7,,,,,,
14.28,6760,,,,,,
14.29,6893.3,,,,,,
14.3,7213.3,,,,,,
14.31,7453.3,,,,,,
14.32,7133.3,,,,,,
14.33,7146.7,,,,,,
14.34,7240,,,,,,
14.35,7360,,,,,,
14.36,7013.3,,,,,,
14.37,7306.7,,,,,,
14.38,6960,,,,,,
14.39,7080,,,,,,
14.4,6733.3,,,,,,
14.41,6920,,,,,,
14.42,6973.3,,,,,,
14.43,7053.3,,,,,,
14.44,6920,,,,,,
14.45,6826.7,,,,,,
14.46,7053.3,,,,,,
14.47,7213.3,,,,,,
14.48,7120,,,,,,
14.49,7386.7,,,,,,
14.5,7346.7,,,,,,
14.51,7373.3,,,,,,
14.52,7186.7,,,,,,
14.53,6666.7,,,,,,
14.54,6546.7,,,,,,
14.55,6840,,,,,,
14.56,7200,,,,,,
14.57,7093.3,,,,,,
14.58,7120,,,,,,
14.59,6920,,,,,,
14.6,6880,,,,,,
14.61,6920,,,,,,
14.62,6920,,,,,,
14.63,7080,,,,,,
14.64,6666.7,,,,,,
14.65,6986.7,,,,,,
14.66,7173.3,,,,,,
14.67,7373.3,,,,,,
14.68,7160,,,,,,
14.69,6853.3,,,,,,
14.7,6840,,,,,,
14.71,6920,,,,,,
14.72,6706.7,,,,,,
14.73,6946.7,,,,,,
14.74,7080,,,,,,
14.75,7000,,,,,,
14.76,7293.3,,,,,,
14.77,6853.3,,,,,,
14.78,6600,,,,,,
14.79,6880,,,,,,
14.8,7253.3,,,,,,
14.81,7346.7,,,,,,
14.82,7680,,,,,,
14.83,7346.7,,,,,,
14.84,7053.3,,,,,,
14.85,7000,,,,,,
14.86,7160,,,,,,
14.87,7386.7,,,,,,
14.88,7226.7,,,,,,
14.89,7106.7,,,,,,
14.9,7000,,,,,,
14.91,6746.7,,,,,,
14.92,6800,,,,,,
14.93,7280,,,,,,
14.94,7093.3,,,,,,
14.95,7360,,,,,,
14.96,7613.3,,,,,,
14.97,7480,,,,,,
14.98,6893.3,,,,,,
14.99,7173.3,,,,,,
15,6946.7,,,,,,
15.01,7066.7,,,,,,
15.02,6960,,,,,,
15.03,7000,,,,,,
15.04,6853.3,,,,,,
15.05,7173.3,,,,,,
15.06,7240,,,,,,
15.07,6986.7,,,,,,
15.08,6960,,,,,,
15.09,7160,,,,,,
15.1,7160,,,,,,
15.11,6706.7,,,,,,
15.12,6973.3,,,,,,
15.13,7133.3,,,,,,
15.14,6880,,,,,,
15.15,6706.7,,,,,,
15.16,7053.3,,,,,,
15.17,7053.3,,,,,,
