Model,MDO3052
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,0.03
Sample Interval,1e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,-2.7
,
,
,
Label,
TIME,CH1
-1.480000e-02,-0.004775
-1.479000e-02,-0.00467188
-1.478000e-02,-0.0046
-1.477000e-02,-0.00468281
-1.476000e-02,-0.00460313
-1.475000e-02,-0.00456406
-1.474000e-02,-0.00443906
-1.473000e-02,-0.00464375
-1.472000e-02,-0.00474375
-1.471000e-02,-0.00463594
-1.470000e-02,-0.00456875
-1.469000e-02,-0.00431563
-1.468000e-02,-0.00477188
-1.467000e-02,-0.00465156
-1.466000e-02,-0.00453125
-1.465000e-02,-0.00446406
-1.464000e-02,-0.0044375
-1.463000e-02,-0.004725
-1.462000e-02,-0.00474063
-1.461000e-02,-0.0045
-1.460000e-02,-0.00445938
-1.459000e-02,-0.00456719
-1.458000e-02,-0.00456563
-1.457000e-02,-0.00468594
-1.456000e-02,-0.0045375
-1.455000e-02,-0.00475313
-1.454000e-02,-0.00454219
-1.453000e-02,-0.00464844
-1.452000e-02,-0.00443125
-1.451000e-02,-0.00470781
-1.450000e-02,-0.00472656
-1.449000e-02,-0.00458594
-1.448000e-02,-0.00465
-1.447000e-02,-0.00473438
-1.446000e-02,-0.00480156
-1.445000e-02,-0.0046625
-1.444000e-02,-0.00460313
-1.443000e-02,-0.00476094
-1.442000e-02,-0.00464062
-1.441000e-02,-0.00470938
-1.440000e-02,-0.00465313
-1.439000e-02,-0.00474844
-1.438000e-02,-0.00483437
-1.437000e-02,-0.00465313
-1.436000e-02,-0.00465938
-1.435000e-02,-0.00469687
-1.434000e-02,-0.00467656
-1.433000e-02,-0.00466094
-1.432000e-02,-0.00474219
-1.431000e-02,-0.00457031
-1.430000e-02,-0.00454844
-1.429000e-02,-0.00472969
-1.428000e-02,-0.00472656
-1.427000e-02,-0.00473125
-1.426000e-02,-0.00471875
-1.425000e-02,-0.00451562
-1.424000e-02,-0.00453906
-1.423000e-02,-0.0045625
-1.422000e-02,-0.00455625
-1.421000e-02,-0.00481875
-1.420000e-02,-0.00451875
-1.419000e-02,-0.00469844
-1.418000e-02,-0.00467813
-1.417000e-02,-0.00469375
-1.416000e-02,-0.00458594
-1.415000e-02,-0.00487813
-1.414000e-02,-0.00464688
-1.413000e-02,-0.00455
-1.412000e-02,-0.00458906
-1.411000e-02,-0.00478594
-1.410000e-02,-0.00487813
-1.409000e-02,-0.0047875
-1.408000e-02,-0.00496406
-1.407000e-02,-0.00457656
-1.406000e-02,-0.00453438
-1.405000e-02,-0.0044625
-1.404000e-02,-0.00476875
-1.403000e-02,-0.00457969
-1.402000e-02,-0.00473438
-1.401000e-02,-0.00468594
-1.400000e-02,-0.00440625
-1.399000e-02,-0.00469531
-1.398000e-02,-0.00467656
-1.397000e-02,-0.00436719
-1.396000e-02,-0.00473594
-1.395000e-02,-0.00461719
-1.394000e-02,-0.00467188
-1.393000e-02,-0.00481719
-1.392000e-02,-0.00464688
-1.391000e-02,-0.00464531
-1.390000e-02,-0.00475937
-1.389000e-02,-0.00467188
-1.388000e-02,-0.00470469
-1.387000e-02,-0.00445469
-1.386000e-02,-0.00454531
-1.385000e-02,-0.00481719
-1.384000e-02,-0.004725
-1.383000e-02,-0.00458906
-1.382000e-02,-0.00467656
-1.381000e-02,-0.00470938
-1.380000e-02,-0.00469531
-1.379000e-02,-0.00461094
-1.378000e-02,-0.00458281
-1.377000e-02,-0.004525
-1.376000e-02,-0.00464844
-1.375000e-02,-0.00450937
-1.374000e-02,-0.00457656
-1.373000e-02,-0.00469063
-1.372000e-02,-0.004575
-1.371000e-02,-0.00453906
-1.370000e-02,-0.00469687
-1.369000e-02,-0.00478906
-1.368000e-02,-0.00456719
-1.367000e-02,-0.00466563
-1.366000e-02,-0.00460469
-1.365000e-02,-0.00480625
-1.364000e-02,-0.00461094
-1.363000e-02,-0.00465313
-1.362000e-02,-0.00465313
-1.361000e-02,-0.00466875
-1.360000e-02,-0.00456875
-1.359000e-02,-0.00470312
-1.358000e-02,-0.00459063
-1.357000e-02,-0.00472969
-1.356000e-02,-0.00470625
-1.355000e-02,-0.00471094
-1.354000e-02,-0.00472656
-1.353000e-02,-0.00456563
-1.352000e-02,-0.004425
-1.351000e-02,-0.00443125
-1.350000e-02,-0.00465625
-1.349000e-02,-0.00463437
-1.348000e-02,-0.00471094
-1.347000e-02,-0.00459375
-1.346000e-02,-0.0047875
-1.345000e-02,-0.00470938
-1.344000e-02,-0.00460156
-1.343000e-02,-0.00459063
-1.342000e-02,-0.0045625
-1.341000e-02,-0.00449219
-1.340000e-02,-0.00467188
-1.339000e-02,-0.00485156
-1.338000e-02,-0.00450313
-1.337000e-02,-0.00460781
-1.336000e-02,-0.00462031
-1.335000e-02,-0.00456875
-1.334000e-02,-0.004375
-1.333000e-02,-0.00456094
-1.332000e-02,-0.0046
-1.331000e-02,-0.00455156
-1.330000e-02,-0.00477813
-1.329000e-02,-0.00464688
-1.328000e-02,-0.00479844
-1.327000e-02,-0.00470781
-1.326000e-02,-0.00475156
-1.325000e-02,-0.00463125
-1.324000e-02,-0.00466094
-1.323000e-02,-0.00480938
-1.322000e-02,-0.00456094
-1.321000e-02,-0.00458438
-1.320000e-02,-0.00480938
-1.319000e-02,-0.00455938
-1.318000e-02,-0.00442188
-1.317000e-02,-0.00465938
-1.316000e-02,-0.00457656
-1.315000e-02,-0.00451562
-1.314000e-02,-0.00463281
-1.313000e-02,-0.00464062
-1.312000e-02,-0.00470781
-1.311000e-02,-0.00453438
-1.310000e-02,-0.00468906
-1.309000e-02,-0.00461406
-1.308000e-02,-0.00468906
-1.307000e-02,-0.00479219
-1.306000e-02,-0.00466406
-1.305000e-02,-0.00475469
-1.304000e-02,-0.00464375
-1.303000e-02,-0.00485469
-1.302000e-02,-0.00455313
-1.301000e-02,-0.00459844
-1.300000e-02,-0.00452656
-1.299000e-02,-0.0048125
-1.298000e-02,-0.00468125
-1.297000e-02,-0.0047125
-1.296000e-02,-0.00472031
-1.295000e-02,-0.00461094
-1.294000e-02,-0.00463906
-1.293000e-02,-0.00454375
-1.292000e-02,-0.00475937
-1.291000e-02,-0.00468438
-1.290000e-02,-0.00465469
-1.289000e-02,-0.00445469
-1.288000e-02,-0.00463125
-1.287000e-02,-0.00464219
-1.286000e-02,-0.00475
-1.285000e-02,-0.00454063
-1.284000e-02,-0.00456875
-1.283000e-02,-0.00457656
-1.282000e-02,-0.00464531
-1.281000e-02,-0.00492188
-1.280000e-02,-0.00452969
-1.279000e-02,-0.00468281
-1.278000e-02,-0.0046125
-1.277000e-02,-0.00461563
-1.276000e-02,-0.00478281
-1.275000e-02,-0.0045125
-1.274000e-02,-0.00464844
-1.273000e-02,-0.00483906
-1.272000e-02,-0.00472188
-1.271000e-02,-0.00459688
-1.270000e-02,-0.00471875
-1.269000e-02,-0.00465781
-1.268000e-02,-0.00470156
-1.267000e-02,-0.00449688
-1.266000e-02,-0.00467813
-1.265000e-02,-0.00463281
-1.264000e-02,-0.00464375
-1.263000e-02,-0.00467188
-1.262000e-02,-0.00452969
-1.261000e-02,-0.00479375
-1.260000e-02,-0.00469531
-1.259000e-02,-0.00465781
-1.258000e-02,-0.00452031
-1.257000e-02,-0.00462188
-1.256000e-02,-0.00467031
-1.255000e-02,-0.00475469
-1.254000e-02,-0.00454219
-1.253000e-02,-0.00463594
-1.252000e-02,-0.00460938
-1.251000e-02,-0.00468594
-1.250000e-02,-0.00465156
-1.249000e-02,-0.00461875
-1.248000e-02,-0.0046375
-1.247000e-02,-0.00464219
-1.246000e-02,-0.00476562
-1.245000e-02,-0.00465156
-1.244000e-02,-0.00457656
-1.243000e-02,-0.00463281
-1.242000e-02,-0.00474375
-1.241000e-02,-0.00479219
-1.240000e-02,-0.00468906
-1.239000e-02,-0.0047125
-1.238000e-02,-0.0045875
-1.237000e-02,-0.00449531
-1.236000e-02,-0.00446094
-1.235000e-02,-0.0048
-1.234000e-02,-0.0047375
-1.233000e-02,-0.00464062
-1.232000e-02,-0.004975
-1.231000e-02,-0.00478906
-1.230000e-02,-0.00475313
-1.229000e-02,-0.00459063
-1.228000e-02,-0.00479844
-1.227000e-02,-0.00448438
-1.226000e-02,-0.0045375
-1.225000e-02,-0.00465313
-1.224000e-02,-0.00475469
-1.223000e-02,-0.00468438
-1.222000e-02,-0.00467188
-1.221000e-02,-0.00460781
-1.220000e-02,-0.00445781
-1.219000e-02,-0.00460156
-1.218000e-02,-0.00454688
-1.217000e-02,-0.00471406
-1.216000e-02,-0.00453594
-1.215000e-02,-0.00464219
-1.214000e-02,-0.0047
-1.213000e-02,-0.00468281
-1.212000e-02,-0.00451562
-1.211000e-02,-0.004575
-1.210000e-02,-0.00462656
-1.209000e-02,-0.00478438
-1.208000e-02,-0.004575
-1.207000e-02,-0.00452031
-1.206000e-02,-0.00477188
-1.205000e-02,-0.00466406
-1.204000e-02,-0.00486875
-1.203000e-02,-0.00462969
-1.202000e-02,-0.00460156
-1.201000e-02,-0.00448281
-1.200000e-02,-0.00466875
-1.199000e-02,-0.0046875
-1.198000e-02,-0.00452656
-1.197000e-02,-0.00465313
-1.196000e-02,-0.00454375
-1.195000e-02,-0.00465938
-1.194000e-02,-0.00475937
-1.193000e-02,-0.00465156
-1.192000e-02,-0.00450313
-1.191000e-02,-0.00461875
-1.190000e-02,-0.00451875
-1.189000e-02,-0.00471406
-1.188000e-02,-0.00467813
-1.187000e-02,-0.00464219
-1.186000e-02,-0.0046625
-1.185000e-02,-0.00460625
-1.184000e-02,-0.00468906
-1.183000e-02,-0.00458438
-1.182000e-02,-0.00455781
-1.181000e-02,-0.00479375
-1.180000e-02,-0.00462656
-1.179000e-02,-0.00467656
-1.178000e-02,-0.00453906
-1.177000e-02,-0.00455
-1.176000e-02,-0.00469375
-1.175000e-02,-0.00468125
-1.174000e-02,-0.00444375
-1.173000e-02,-0.00475937
-1.172000e-02,-0.00478281
-1.171000e-02,-0.00466094
-1.170000e-02,-0.004525
-1.169000e-02,-0.00470625
-1.168000e-02,-0.00469375
-1.167000e-02,-0.00443906
-1.166000e-02,-0.00451875
-1.165000e-02,-0.00464375
-1.164000e-02,-0.00474063
-1.163000e-02,-0.00472031
-1.162000e-02,-0.00459688
-1.161000e-02,-0.00459531
-1.160000e-02,-0.004775
-1.159000e-02,-0.00464219
-1.158000e-02,-0.00471875
